;A;2;3;4;5;6;7;8;9;10;J;Q;K
4H;0;0;0;0;0;0;0;0;0;0;0;0;0
5H;0;0;0;0;0;0;0;0;0;0;0;0;0
6H;0;0;0;0;0;0;0;0;0;0;0;0;0
7H;0;0;0;0;0;0;0;0;0;0;0;0;0
8H;0;0;0;0;0;0;0;0;0;0;0;0;0
9H;0;0;0;0;0;0;0;0;0;0;0;0;0
10H;0;0;0;0;0;0;0;0;0;0;0;0;0
11H;0;0;0;0;0;0;0;0;0;0;0;0;0
12H;0;0;0;0;583543;0;0;0;0;0;0;0;0
13H;0;0;0;0;0;0;0;0;0;0;0;0;0
14H;0;0;0;0;0;0;0;0;0;0;0;0;0
15H;0;0;0;0;0;0;0;0;0;0;0;0;0
16H;0;0;0;0;0;0;0;0;0;0;0;0;0
17H;0;0;0;0;0;0;0;0;0;0;0;0;0
18H;0;0;0;0;0;0;0;0;0;0;0;0;0
19H;0;0;0;0;0;0;0;0;0;0;0;0;0
20H;0;0;0;0;0;0;0;0;0;0;0;0;0
12S;0;0;0;0;0;0;0;0;0;0;0;0;0
13S;0;0;0;0;0;0;0;0;0;0;0;0;0
14S;0;0;0;0;0;0;0;0;0;0;0;0;0
15S;0;0;0;0;0;0;0;0;0;0;0;0;0
16S;0;0;0;0;0;0;0;0;0;0;0;0;0
17S;0;0;0;0;0;0;0;0;0;0;0;0;0
18S;0;0;0;0;0;0;0;0;0;0;0;0;0
19S;0;0;0;0;0;0;0;0;0;0;0;0;0
20S;0;0;0;0;0;0;0;0;0;0;0;0;0
21S;0;0;0;0;0;0;0;0;0;0;0;0;0
