;A;2;3;4;5;6;7;8;9;10;J;Q;K
4H;0;0;3;2;2;2;2;3;0;1;2;1;3
5H;0;1;3;3;4;3;2;5;0;3;6;3;5
6H;12;19;20;11;23;13;38;19;17;23;20;14;22
7H;99;112;98;109;94;119;264;143;114;85;87;101;86
8H;166;140;145;131;145;135;187;331;184;146;138;139;139
9H;203;235;225;213;222;198;219;305;460;258;266;249;271
10H;267;276;264;240;229;207;279;249;302;487;503;488;524
11H;170;175;144;133;119;126;201;200;166;159;201;172;197
12H;350;333;334;342;297;330;425;429;501;425;415;456;445
13H;371;401;306;343;316;295;418;433;490;456;465;447;407
14H;363;365;385;323;353;289;556;468;446;452;488;476;485
15H;394;340;357;315;323;360;464;472;512;489;464;447;500
16H;405;389;376;346;314;330;501;471;514;511;475;476;467
17H;621;658;632;609;565;754;1637;593;557;484;484;503;508
18H;592;505;521;526;511;439;582;1390;492;455;455;437;427
19H;447;447;497;453;457;376;301;499;1256;408;443;400;363
20H;931;914;882;843;785;717;535;508;893;2327;2385;2451;2385
12S;7;12;13;11;19;13;18;24;21;17;27;26;28
13S;33;33;42;40;40;45;50;52;46;45;52;53;54
14S;34;33;43;37;36;36;55;47;53;47;56;52;46
15S;41;46;38;46;39;52;52;61;57;67;55;43;47
16S;32;53;54;32;32;43;56;58;72;62;85;53;53
17S;112;134;115;129;109;154;318;122;111;114;124;113;113
18S;104;117;102;114;113;98;115;348;105;123;102;106;97
19S;110;111;116;112;115;93;71;102;299;93;96;106;97
20S;111;108;117;116;109;93;63;89;97;302;306;316;294
21S;1100;0;0;0;0;0;0;0;0;276;289;288;271
