;RESULTADOS NUMÉRICOS DE VITÓRIAS;;;;;;;;;;;;;;;RESULTADOS NUMÉRICOS DE DERROTAS;;;;;;;;;;;;;;;RESULTADOS NUMÉRICOS DE EMPATES;;;;;;;;;;;;;
;;A;2;3;4;5;6;7;8;9;10;J;Q;K;;;A;2;3;4;5;6;7;8;9;10;J;Q;K;;;A;2;3;4;5;6;7;8;9;10;J;Q;K
;4H;68;130;151;179;192;161;119;106;109;98;110;97;109;;4H;376;259;254;265;237;218;364;334;372;336;326;389;385;;4H;0;0;0;0;0;0;0;0;0;0;0;0;0
;5H;95;303;360;385;380;365;213;205;239;186;181;173;174;;5H;795;566;539;525;536;565;665;707;753;741;747;756;739;;5H;0;0;0;0;0;0;0;0;0;0;0;0;0
;6H;157;460;501;523;587;549;386;331;291;294;297;280;281;;6H;1163;869;773;793;767;829;1023;1075;1055;1065;1102;1056;1059;;6H;0;0;0;0;0;0;0;0;0;0;0;0;0
;7H;224;668;749;698;724;790;441;449;400;429;355;378;430;;7H;1598;1183;1041;1016;1049;998;1396;1394;1464;1449;1421;1374;1451;;7H;0;0;0;0;0;0;0;0;0;0;0;0;0
;8H;262;755;886;901;960;950;593;592;493;495;497;498;502;;8H;1992;1458;1367;1365;1326;1283;1694;1766;1814;1921;1785;1757;1787;;8H;0;0;0;0;0;0;0;0;0;0;0;0;0
;9H;321;1020;1015;1091;1155;1160;775;628;640;566;557;557;594;;9H;2358;1747;1665;1642;1634;1564;2038;2199;2120;2137;2156;2238;2196;;9H;0;0;0;0;0;0;0;0;0;0;0;0;0
;10H;365;1184;1178;1240;1303;1328;876;751;733;712;710;687;668;;10H;2802;2037;1891;1912;1872;1762;2436;2475;2493;2479;2561;2598;2512;;10H;0;0;0;0;0;0;0;0;0;0;0;0;0
;11H;413;1241;1360;1459;1545;1583;912;890;844;820;814;754;789;;11H;3238;2283;2254;2276;2109;2103;2595;2713;2757;2827;2968;2893;2935;;11H;0;0;0;0;0;0;0;0;0;0;0;0;0
;12H;813;2350;2518;2667;2909;2847;1682;1657;1523;1428;1392;1430;1447;;12H;6077;4291;4119;4262;4057;3981;5135;5088;5351;5297;5454;5350;5283;;12H;0;0;0;0;0;0;0;0;0;0;0;0;0
;13H;745;2269;2329;2524;2601;2685;1755;1518;1395;1354;1350;1375;1367;;13H;5587;4204;3897;3926;3686;3645;4834;4939;4854;4987;4997;4996;4984;;13H;0;0;0;0;0;0;0;0;0;0;0;0;0
;14H;704;2009;2281;2314;2478;2566;1547;1456;1320;1249;1270;1284;1315;;14H;5174;3741;3767;3527;3392;3402;4271;4515;4523;4611;4619;4579;4706;;14H;0;0;0;0;0;0;0;0;0;0;0;0;0
